pair_id,metric,fp16,int8,nf4,d_int8_vs_fp16,d_nf4_vs_fp16,shape
qwen_2b,harmbench_asr_judge,0.135,0.15,0.19,0.015,0.055,graded
qwen_2b,harmbench_asr_v2,0.6,0.585,0.575,-0.015,-0.025,graded
qwen_2b,xstest_over_refusal,0.052,0.04,0.028,-0.012,-0.024,graded
qwen_2b,mmlu_accuracy,0.62,0.64,0.5333333333333333,0.02,-0.0867,non_monotonic
qwen_2b,arc_accuracy,0.7192832764505119,0.7320819112627986,0.7064846416382252,0.0128,-0.0128,non_monotonic
qwen_4b,harmbench_asr_judge,0.065,0.065,0.09,0.0,0.025,cliff_at_nf4
qwen_4b,harmbench_asr_v2,0.24,0.245,0.305,0.005,0.065,cliff_at_nf4
qwen_4b,xstest_over_refusal,0.028,0.028,0.02,0.0,-0.008,cliff_at_nf4
qwen_4b,mmlu_accuracy,0.7466666666666667,0.74,0.7433333333333333,-0.0067,-0.0033,non_monotonic
qwen_4b,arc_accuracy,0.8745733788395904,0.8703071672354948,0.8532423208191127,-0.0043,-0.0213,graded
llama_3_2_3b,harmbench_asr_judge,0.04,0.08,0.04,0.04,0.0,non_monotonic
llama_3_2_3b,harmbench_asr_v2,0.06,0.1,0.06,0.04,0.0,non_monotonic
llama_3_2_3b,xstest_over_refusal,0.044,0.032,0.06,-0.012,0.016,non_monotonic
llama_3_2_3b,mmlu_accuracy,0.61,0.5966666666666667,0.5666666666666667,-0.0133,-0.0433,graded
llama_3_2_3b,arc_accuracy,0.726962457337884,0.7167235494880546,0.6988054607508533,-0.0102,-0.0282,graded
mistral_7b,harmbench_asr_judge,0.385,0.375,0.345,-0.01,-0.04,graded
mistral_7b,harmbench_asr_v2,0.835,0.885,0.89,0.05,0.055,cliff_at_int8
mistral_7b,xstest_over_refusal,0.004,0.0,0.004,-0.004,0.0,non_monotonic
mistral_7b,mmlu_accuracy,0.63,0.6433333333333333,0.6133333333333333,0.0133,-0.0167,non_monotonic
mistral_7b,arc_accuracy,0.7320819112627986,0.7337883959044369,0.7414675767918089,0.0017,0.0094,cliff_at_nf4
phi4_mini,harmbench_asr_judge,0.055,0.06,0.055,0.005,0.0,non_monotonic
phi4_mini,harmbench_asr_v2,0.075,0.085,0.075,0.01,0.0,non_monotonic
phi4_mini,xstest_over_refusal,0.112,0.12,0.084,0.008,-0.028,non_monotonic
phi4_mini,mmlu_accuracy,0.7,0.6966666666666667,0.6766666666666666,-0.0033,-0.0233,cliff_at_nf4
phi4_mini,arc_accuracy,0.8131399317406144,0.8156996587030717,0.7977815699658704,0.0026,-0.0154,non_monotonic
